Product Name,Model,Category,Image(s),Specs,Price (INR),Discount Info,Slide No,Brand,Stock Status,Keywords,Usage Description,cloudinary_url
"1 Air Impact Wrench Kit With Sockets (27,30,32,33mm)",DB-I-3200,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/cNVKU9fiPq7Lp0a2BOVD7Q/jBGWP7KanOuGjcuIehKsp_sojvKbspEZTT_q35eyqvZ0wkSsfV9iCOM9BIfsJRJWHMa6j-tpbIsp3LNthAJrPZ47ZFYTeng8ntK2Q93KeC-eJIagYQSdMcp4E06aOe5GRHbrr6qzJAd15xKsiPgK0fuCjXtxWze0qfKU4nmxwkc/E4Z-280dfAE260JQTZSO82TJ9yHltT92Ot14foT8boY),"Square Drive: 1, Capacity (Bolt Size): M42, Free Speed (RPM): 3,200, Max Torque: 2400Ft-Lb/3200NM, Overall Length: 9.1/2/240mm, Air Inlet (Pt/Npt): 1/2, Air Hose (ID): 1/2, Avg. Air Consumption: 9Cfm/255L/min, Net Weight: 13.5Kgs",INR 18855.00,25% off,60,Drebon,,"Air Impact Wrench, Sockets, Pinless Hammer, 6 Anvil, DB-I-3200",This 1 Air Impact Wrench kit features a pinless hammer with a 6 anvil and a maximum torque of 2400Ft-Lb for heavy-duty applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342185/rsvuqvzhkmfzf9norry9.png
"1 inch Air Impact Wrench Kit With Sockets (27,30,32,33mm) Pinless Hammer With 3 inch Anvil",DB-I-3200S,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/V7zmRtfcXZ_UdyFsm__zCw/cXBWyjA4xEAgxcI95It9Mzb1aKIzy5G4GNqp7yhJeZ4IVC4Qp9jXimSpVaEDvFCIGSt77hYvE7eqFM3jbzO-OAyJSHwjUxmBkazrqUeTLAcN0WNcq6-7N5ju_AXLTDJpBIIH9NLCiIfxY6OqWYBGYK5YhK3Ldn8NRIsAc5O2VqM/wvSazVqKufASX_tlN-K98edFygTSILlVFhWpP_HrFu0),"Square Drive: 1 inch, Capacity (Bolt Size): M42, Free Speed (RPM): 3,200, Max Torque: 2400Ft-Lb/3200NM, Overall Length: 9.1/2 inch/240mm, Air Inlet (Pt/Npt): 1/2 inch, Air Hose (ID): 1/2 inch, Avg. Air Consumption: 9Cfm/255L/min, Net Weight: 13.5Kgs",INR 18855.00,25% off,60,Drebon,,"Air Impact Wrench, Sockets, Pinless Hammer, 3 inch Anvil, High Torque",This air impact wrench is designed for heavy-duty fastening and loosening of nuts and bolts.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342186/a8h8engprrz2jwxcabrd.png
1 Air Impact Wrench,DB-I-6200,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/eJe0d1k4uqcb-i4A0FJmWA/c3q8TcWjaCP_YEFRvsVM-OK9XAhlDnyJ9MdOYwVvbXrzFUSajQiOJ_c_xhUGiR9rYJs-uhmKhyUanrfbJHr8y0gV4_DAo4Niv5Ch5c9yIgQDUUZZUyIFyHlOA4tUgeON3ZkmC5arEkNfG1X_El8nt-lIdYtsEs0N0V24ZKa2EO8/iluY9Nk9M8IayJyL5OuyrACYSA4WEbOmSm1V3SKWD84),"Square Drive: 1, Capacity (Bolt Size): M48, Free Speed (RPM): 3,000, Max Torque: 4570Ft-Lb/6200NM, Air Inlet (Pt/Npt): 1/2, Air Hose (ID): 1/2, Avg. Air Consumption: 9Cfm/255L/min, Net Weight: 20.4Kgs",INR 27000.00,25% off,70,Drebon,,"Pinless Hammer, 9 Anvil, Max Torque, 4570Ft-Lb, Hollow Anvil","A pinless hammer air impact wrench with a 9-inch hollow anvil, designed for heavy-duty fastening with a maximum torque of 4570Ft-Lb.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342187/cqs3tptrlrzrfb05xa6l.png
Air Impact Wrench,B-I-3800C,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/0LhDKwbANZ5Ut-xquPo23w/WgLzAvfhwK3vBm0i8xWMIOYMDXbKxvcKMT5SB2Ok6taDNhenkxY-cD3-G5-9cemY8VR6JHOgwvfoo92ivAkaJuFLj3Nlp2WOpJpv0ayhTFtWUWoQXM7vvxvbLDllyphtqOQ8_oaVOk7-XauzagOYGeMR3h78a0fQV_TJVbRrDqM/fajSVi05jayorWw-nHE2hJkbtDQn8jOG-znW9NQVjMM),"Square Drive: 1, Capacity (Bolt Size): M30, Free Speed (RPM): 3,000, Max Torque: 3800Nm, Overall Length: 9.1/2/240mm, Air Inlet (Pt/Npt): 3/8, Air Hose (ID): 3/8, Avg. Air Consumption: 9Cfm/255L/min, Net Weight: 18Kgs",INR 21735.00,25% off,70,Drebon,,"Air Impact Wrench, Pinless Hammer, 3800Nm Torque, Heavy Duty Impact Wrench, 6 inch Anvil",Designed for heavy-duty fastening with a pinless hammer and 6 inch anvil.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342188/kmaysiqdxerj2kmwavs1.png
1.1/2 Air Impact Wrench,DB-I-489S,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/gBQOoTQvSn-ilq1tcNjcUA/3MJZdZ3KgkxAD6yUZaGe5qRbpY9IhREvoS9u2jt-7WN5w-_Ois7c6uNXx0xi64P5hM2NvNTdOTvOC7QyLAeC446fMCEk_hcLt5TKLpp8z8iqyadiETrhNEQVBYmgipwxPyjo8gREs2ttqBvNdbFoyyQcZpj2v8jFWTIcE5d46iE/O68k7sP6YWp9Aim6Jrh_8sLV0TSiIJxp3bKACbqttW0),"Square Drive: 1.1/2, Capacity (Bolt Size): M52, Free Speed (RPM): 2,800, Max Torque: 5310Ft-Lb/7200NM, Overall Length: /mm, Air Inlet (Pt/Npt): 1/2, Air Hose (ID): 1/2, Avg. Air Consumption: 9Cfm/255L/min, Net Weight: 18.4Kgs",INR 52920.00,25% off,70,Drebon,,"Air Impact Wrench, Pinless Hammer, 3 Anvil, High Torque, 5310Ft-Lb",Heavy-duty air impact wrench for demanding fastening and loosening tasks.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342189/iouoodufkpxakgsbpupd.png
1 Impact Wrench,DB-I-2500P,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Xh4XfpiVlQg9S9d0EW6-uQ/El4RryJdfnSquxNd3mClvVfu_Biv6wxunewJng1HJovXtAOkrtImm1HpcCargPDxWXDlIw4EVY_ntIp5K5pCWwZuA6lXOTvYk1tTOXyQ4iH3vIGDAcVuTs3_zjl0JUujvJk7iJ0NiiqBrFF2XW3bhv8OhxNskOnPKjsgxXoHkMs/Xq1eEGSrWOmIpZMVdP4Fl2BuAchR5ebtYCxNAmL1AG8),"Square Drive: 1, Capacity (Bolt Size): M39, Free Speed (RPM): 3,000, Max Torque: 2360Ft-Lb / 3200NM, Air Inlet (Pt/Npt): 1/2, Air Hose (ID): 1/2, Avg. Air Consumption: 2.5Cfm / 71L/min, Net Weight: 15Kgs / 33.07Lbs",INR 30400.00,25% off,70,Drebon,,Twin Hammer,Used for tightening and loosening bolts and nuts with high torque.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342189/gju4rmp8q8aojoaejqds.png
1 Heavy Duty Rocking Dog Mech. Air Impact Wrench,DB-I-85(-6),Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Bk_IU1eiLH7pbExWvCL-JA/l7O61MJMYH3709iLgZQhmlvCf8IM5O7QVazXK_42MUBzemDu_u-0inIODtQzPIuMHBEn0srf2pfRn_zKAHSdPOrAalICyS6ZQHBahdJYo1p1sFPwMnSIWCZJrUM30oXbglKhzSNsMDX2p5Bu7jsYKgAJFTqknicsNg42EkJOAVE/3JxzI1UNXKqIDh_x0kheYwyx527vmvSA_UpaAZ8BqG0),"Square Drive: 1, Capacity (Bolt Size): 1.27/64 / M36, Free Speed (RPM): 4,000, Max Torque: 1800Ft-Lb/2439NM, Overall Length: 12.31/32/315mm, Air Inlet (Pt/Npt): 1/2, Air Hose (ID): 1/2, Avg. Air Consumption: 9Cfm/255L/min, Net Weight: 11.44Kgs / 25.16Lbs",INR 59535.00,25% off,70,Drebon,,"Heavy Duty, Rocking Dog Mechanism, Air Powered, Impact Wrench, High Torque, 6 Anvil",This 1 inch heavy-duty air impact wrench with a rocking dog mechanism and 6 inch anvil delivers high torque for demanding applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342190/hu1oxlqlwcfbca2cuedo.png
1.1/2 Air Impact Wrench,DB-I-489,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/vqJuaGci0T7KRf-crZb2TQ/CA-EyFPvUQWMZnoxm80gnc1YP40lkijcCHG3aIo-ynvkujAfPVJp64cxwyLdLU2F1SP2R3xRU227dYlWlEfP_KDHTchvj3aCKPHKOVqoojNKC3pJA_yzZ1PQymMhE50eAzZMkPmV4xinMofHRskg7NP4kh6NvyKMWjyhz9ifpdo/309-qnI_WIgV6R95vs5pF0dPFKsvzTZfThBX2WKWPuc),"Square Drive: 1.1/2, Capacity (Bolt Size): M52, Free Speed (RPM): 2,800, Max Torque: 5310Ft-Lb/7200NM, Overall Length: 660mm, Air Inlet (Pt/Npt): 1/2, Air Hose (ID): 1/2, Avg. Air Consumption: 9Cfm/255L/min, Net Weight: 20.4Kgs",INR 52920.00,25% off,70,Drebon,,"Pinless Hammer, 9 Anvil, Air Impact Wrench, Heavy Duty",A heavy-duty air impact wrench with a pinless hammer and 9-inch anvil for powerful fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342191/ek7cy7fg2nkf3niwt9qa.png
3/8 Mini Air Ratchet Wrench,DB-RW-55A,Ratchet Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/hlqfKZDWQqBrdhAHiSBKXA/YQDtLD9BYsl3ysVV7T4h_mpaDnUDtVtsEo0o4epLaqh4Dr6G4gNSza-I0r5F9dgaWa4N3peSCGff0vgJ4yOnY1_Z-KF_aNbUZo5c1kEuoTTJFn8BtHwvEpoK_ut_65Fk_cPLOJDAbLiVA7rTDB1pXoeJC2-L-nUgn6hbs-T49e4/ltpJkjXNRiRfQyoWMNNKq44M14IOxHvMhTP36_0lGMc),"Square Drive: 3/8, Capacity (Bolt Size): 5/16 / M8, Free Speed (RPM): 250, Max Torque: 30Ft-Lb/40NM, Overall Length: 6.1/2/165mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 5/16, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 0.50Kgs / 1.10Lbs",INR 3860.00,25% off,70,Drebon,,"Mini Air Ratchet Wrench, Ratchet, Air Tool, 3/8 inch",Used for fastening and loosening bolts and nuts in tight spaces.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342192/anzxlvd9nmajnzzpmsam.png
1/2 Composite Heavy Duty Angle Type Jumbo Hammer Mechanism Air Impact Wrench,DB-RW-60,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/5gL_PYRu2dbW4CVWk8-iUg/SYndoVVb-EjvGLJKddJOgB1FtJU7V2yuCiNp7qbTpQ4W6Gtcoi0w_J06-f016Ams7G9Z9X08cZfiEBWSMENF5aNAz3mpSVb7DbAgahb97dkMVDZN6sbUdTS9rEpj_HCKwND50GWaJYnhQgvBRXaDKcE1FvBguNsH5a1eVM2CDzs/ps2T_Myam8rfaBhCaZs1ksLs7-N3b7dm-w0IlHr72us),"Square Drive:1/2, Free Speed (RPM):6,500, Max Torque:300Ft Lb / 407Nm, Overall Length:9-11/16 / 245mm, Air Inlet (Pt/Npt):1/4, Air Hose (ID):3/8, Avg. Air Consumption:4.2 cfm, Net Weight:3.09lbs / 1.40Kg",INR 15930.00,25% off,70,Drebon,,"Composite, Heavy Duty, Angle Type, Jumbo Hammer Mechanism, Air Impact Wrench, Impact Wrench",This heavy-duty angle type air impact wrench features a jumbo hammer mechanism for efficient fastening.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342193/rru6xqqaufgd91wbv2af.png
3/8 Air Ratchet Wrench,DB-RW-52,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/2OzWPGVasTfFMVTRAnM6uA/XO35dEwgSH4OOE5lv31Ht-_DBheVdtpiyceRXRw6HjFdZXubNK69UEE_Fw8lqE8sXsoRczD0-43UiGIbYx5i9gR7dO9-5ncailgVZ2pWgJdTTIFgyKwLyxeRAKKnuFH5lBjk45fxs0nijv6Pcazv2E0Hb5Vdcgo_VUdQVsB89PE/Z6HaythyLa4k-n9zyQnXy2p_okzt0GmrHjBynDFxzUo),"Square Drive: 3/8, Capacity (Bolt Size): 3/8 / M10, Free Speed (RPM): 160, Max Torque: 50Ft-Lb/68NM, Overall Length: 10/254mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 1.10Kgs / 2.40Lbs",INR 3540.00,25% off,80,Drebon,,"Air Ratchet Wrench, Ratchet Wrench, Air Tool, 3/8 inch drive, torque",Used for tightening and loosening fasteners with air power.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342194/rmgjzisqa0ysmwn7qk4i.png
3/8DR. Heavy Duty Air Angle Impact Wrench,DB-I-67D,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Ju4kFWeEOkTIL4JVY4UbAA/Kct8Rf3HFLaPNUKNzNmIsnOXmx_nuIxDA32H94HfDSxPI47oVUb5MIixyNu4aUIfo5dP1m0k2BT-83tbt7Xvqk2k7RB3pO11xQwvUWd37WUEND4mDpAv9nz031SNzp64GaYxdU0ZbkAX6WcvGxy1GU3NpUQPYzfervk3snfuP5A/mEH7DdUHlDRDq-Qy19DZkd-LfbvR2jXZ5a5SEJCfj_Q),"Square Driver: 3/8, Free Speed (RPM): 5,000, Max. Torque: 34Ft-Lb / 46nM, Overall Length: 10.1/4/260mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 8Cfm/226L/min, Net Weight: 1.50Kgs / 3.31Lbs",INR 14650.00,25% off,80,Drebon,,"Heavy Duty, Air Angle, Impact Wrench",A heavy-duty air angle impact wrench designed for various fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342195/h0cmi0mrkrc5p9bju3ec.png
1/2 Air Ratchet Wrench,DB-RW-53,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/c58usDsZqT702Qr3HI6XMw/NKXJ4ZB17McKq5MepOpc_vNPBhI260pGkvkyHQl7cJlDkREqc5TRcQE7zeq6DGQ5waEYANFWakj7Ldo971Xv8BipC8JRHGiJUJOZHX9vwiZ3vKB9aqePmKs0Z5QQPo9jH8wRuuQoGFq-uzw_ubx9FFP3Fv0W1j71uiyJU8IJ-8A/qLJJw19P-BB-Pr0f1vwNEQYhWlzPhuTEZe6kIaLH6ZY),"Square Drive: 1/2, Capacity (Bolt Size): 3/8 / M10, Free Speed (RPM): 160, Max Torque: 50Ft-Lb/68NM, Overall Length: 10/254mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 1.10Kgs / 2.40Lbs",INR 3540.00,25% off,80,Drebon,,"Air Ratchet Wrench, Ratchet Wrench, Air Tool, Pneumatic Wrench",Used for fastening and loosening nuts and bolts in tight spaces.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342196/x7hyv6574voiilsg5qle.png
1/2 Air Ratchet Wrench,DB-RW-5517A,Impact Wrench,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/_5qe4le06aL0NNR8nuT8zQ/CaKB-nvj8mlgLleoP1rk-fz6EE1ArqaBeu2ID3r61IW2xmD3-kE5YTTVZdbme3omsMasGvkqiKLeBSzXANXOvNIg6cU1Plwl20wdjA0Nqd7VUSn8Wmb2EkruqpbHKbaqTAoEfhlYbCMlVpVaj7yZLpy-iAOQEiK7SoKYXWx9zPs/VBuyev06-QIRYoMox4r6Bxux8aCcjtsIAh36vBCmc-o),"Square Drive: 1/2, Capacity (Bolt Size): 1/2 / M13, Free Speed (RPM): 170, Max Torque: 120Ft-Lb/163NM, Overall Length: 12/320mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4.9Cfm/113L/min, Net Weight: 1.56Kgs",INR 12770.00,25% off,80,Drebon,,"Air Ratchet Wrench, Ratchet Wrench, Air Tool, Wrench",Used for tightening and loosening nuts and bolts in various applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342197/ses0xlm9lrpa0b1xd4yn.png
3/8 Heavy Duty Air Reversible Drill,DB-D-31,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/xs_I3guAOTui-6setzlrkg/MoSWLb0bSOUFAVQLdfwTknIsX5Ue6ylsqiJDNweZjgJMnmdavVm3o9onHEe67ZK5jeKRVDXhBhA3e5g51vGa6Fzh_srD7z-VH_oLAqQUd9NAvXnCfbC2D4VgW3xWwgVjG6DdVVuwuOPmZTcMuBqE7UL-_rBZ4tg1rNVH-4-TBck/6Cq4_Vn7OrO8QiVKNe_X8qOPzdjt6VUG1aVldMFo22g),"Drill Cap.: 3/8, Free Speed (RPM): 1,800, Overall Length: 6.1/2/165mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 0.90Kgs / 2.00Lbs",INR 3573.00,25% off,80,Drebon,,"Heavy Duty, Air Reversible, Drill, Pneumatic",This heavy-duty air reversible drill is designed for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342198/bu59bx3i0sxsl1u7svsy.png
3/8 Industrial Three Gear Mechanisum Air Non Reversible Drill,DB-D-30NR,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/JYD-aUQvjbkI4Pn4Fbar-Q/R14SXubBRQceZjHfIiuWZKq6BoBpjhyzv7u-cFR_ErP9kB6ftvf4AaTmDUuQRjVPh1Dykk6mb9FIBQy0BZHJO5YQQzKsy4W1E1nwhDFph6wsoKQvt1TI-QscxOArUioHlK9cUCzrJD8AfOfmUHqa_aOlM8LFYDOzIlDIXvuNuOw/d6B8Xk3W-t_p9Sc23rnKjo62aQn84Wg29ggaEZseGpw),"Drill Cap.: 3/8, Free Speed (RPM): 2,800, Overall Length: 6.1/2/165mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 0.90Kgs / 2.00Lbs",INR 5840.00,25% off,80,Drebon,,"Industrial Drill, Air Drill, Non Reversible Drill, 3/8 inch drill",An industrial three-gear air non-reversible drill for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342199/pgyjzpgfsu0maybydxic.png
3/8 Heavy Duty Non Reversible Air Drill,DB-D-28,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/PS_4KFxiFrq1xQPKIyzyzw/b5r--pvE4pQc50k-oFrxzShACbkVGYKHF_OnnUqxDERPl0nOPMJJlP0MWbMqn1-hAPa3eGBHEgzTtEYg55467Z2qWU9_KDLaW361BRjK7BvlF0fbcWvsTcf3VPlR69JTBe9agEaJTuuraMPIdcFn_VoAsF2mg0U2zxCzsoY5kQw/zfgjUOCmoIPwBTr3pymMtjBHHCdDRaG-SCC6hBkVwYE),"Drill Cap.: 3/8, Free Speed (RPM): 2,200, Overall Length: 6.1/2 /165mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 0.90Kgs / 2.00Lbs",INR 3145.00,25% off,80,Drebon,,"Heavy Duty, Non Reversible, Air Drill, DB-D-28, 3/8 inch",This heavy-duty non-reversible air drill is used for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342201/xq0vplfuwvk68tytb9wi.png
1/2 Heavy Duty Air Reversible Drill,DB-D-41,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/cKBu_NNFSns5jr424ml5tw/3eQeE2SLBhQUQQnQMfHVvl-xCuBe5cbu-gg2jvlmLxk7hVkKQkL8pzAz5xpj6wfIfdLOQAm62awA6_3v9w0qW3hwVvdjSlyIQqCUkbTOSa6-iob5ssv77zxg-Ha1o1lLAD-K4aknvfZx6H4_hp4aw1uJS_0C80zBcDBSohwVLjI/2QCkuffwjIasf4h6e1C8VB8h3VgE0seHckA0Kt-u1rU),"Drill Cap.: 1/2, Free Speed (RPM): 800, Overall Length: 7/180mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 8Cfm/226L/min, Net Weight: 1.10Kgs / 2.42Lbs",INR 6640.00,25% off,80,Drebon,,"Heavy Duty Air Reversible Drill, Air Drill, Reversible Drill, Drill",A heavy-duty air-powered reversible drill suitable for various drilling tasks.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342202/yomwjeel197joiwokc4w.png
0.60HP 3/8 Industrial Reversible Air Drill,DB-D-31 (IND),Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/pBHyjedqeqkT_jqXmTfc8g/rvIZg24MRczS8gyiScIeqnPff3HCMZrR_GNo9d1EeJLWq3kSylaN7Zy7oW2T2LLf4FApGPQNo3zXLhtFMGjILQPn-jU1Tt4PiwxgMzEgxCpWAkmgYgMKnmM9wugHI7V4u1m2Okb0fpBwzIVz_YJmARcLpLn3Yr3AqL4XdghEPDo/PSNURew--W8Z3mxKew5gB0IcamfyNKkuCsBz-oRIUt8),"Drill Cap.: 3/8 inch, Free Speed (RPM): 2,100, Overall Length: 7.1/4 inch/185mm, Air Inlet (Pt/Npt): 1/4 inch, Air Hose (ID): 3/8 inch, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 1.10Kgs / 2.42Lbs",INR 11850.00,25% off,80,Drebon,,"Industrial, Reversible, Air Drill, 0.60HP, 3/8 inch",An industrial reversible air drill designed for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342203/gixa52gai1hegsxezft9.png
0.60HP 1/2 Industrial Reversible Air Drill,DB-D-41 (IND),Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/9pzl_bi68SqJk7kw0Rd0NQ/SSJnrxmnjBqIeDw4Ihp15vunNvBXaVKSC_xZ1ZAElwqj_QaNF3XNyVi6fyNoyE-QX50ImV2MItR-Y4yADOqXTchJHnIUAMea4MLXZjbwTcFW4dlFCBglBY0DF163hu1f11G1PpX60Re0_OHUyubEZuAg38B03QWbIz4366x546U/Ymga07D85VypMORbn5urV4bxRMokCjkhQzQK8PuvZNw),"Drill Cap.: 1/2, Free Speed (RPM): 700, Overall Length: 10 /252mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm/113L/min, Net Weight: 1.40Kgs / 3.08Lbs",INR 16530.00,25% off,80,Drebon,,"Industrial Air Drill, Reversible Air Drill, Pneumatic Drill, 0.60HP Drill, 1/2 inch Drill",This industrial reversible air drill is designed for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342204/gnrkfrbtbe63ylok5nh7.png
3/8 Air Straight Drill With Jacob Chuck,DB-D-38,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/XKnrnVHjEYy3QawwcWE40w/nBrISS6mALPpJhIcOIRCL0XoiNhBevgMwbqiqcs_cfFLZDCA_xnl_qy9o5AHKnW2tEG3zwl0XW4sPoN_8U_zPgOHBqQ6Br8T5E5_cDSedh8VBElHVaO8XivAN5CwT49lyEEZEOiZyTaEFM1HAt_rSZ4dTfyziCoQAjFn7795ziY/ppeuELVgloQniApRWswIOrlR3Oo2rPgC_vI4R9n4iMw),"Drill Cap.: 3/8, Free Speed (RPM): 2,600, Overall Length: 8.1/2 /216mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 6Cfm/170L/min, Net Weight: 0.90Kgs / 2.00Lbs",INR 4555.00,25% off,90,Drebon,,"Air Straight Drill, Jacob Chuck, Pneumatic Drill, DB-D-38",This air straight drill with a Jacob Chuck is designed for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342205/lnxtiysjrtu8l0orkixd.png
3/8 Heavy Duty Air Angle Drill,DB-AD-35,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/xAYDeXqzBRlnvlrE3FINaw/Nou-HbOK8TKJZbdK18meN6tqlyvgAHkfGlIcABaBsInrngJcqY13q0WAcVkfjgEYYJwWChyK7BwA_vp08NcEK7DlGu5uQongffVZz-0qjd8KOEhrL54Kq5w9EpirJyPfVXbPAYnXNj8Y3tmRcnwP_u3HBRT47Nd9PKeLXbd1dlg/BksqhQS-bZoRLzG6BONzf_LZ_V2rREkTkuv7H3ZppOs),"Drill Cap: 3/8, Free Speed (RPM): 1,900, Overall Length: 7.1/2/190mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 5Cfm/141L/min, Net Weight: 0.96Kgs / 2.10Lbs",INR 6075.00,25% off,90,Drebon,,"Air Angle Drill, Heavy Duty, Angle Drill, Pneumatic Drill",A heavy-duty air-powered angle drill designed for drilling in various applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342206/fmkvedj3gtojszdbip5t.png
3/8 Heavy Duty Air Reversible Drill,DB-D-430,Drill,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/nPVSGJ8ORqDUQe_2UOjaxA/sfpqSmijmCpyJoOwy313504b7G20xTJ0x2gG1ldIVZEp5QU4aOBmc3fZ0Kt8wnYLi64S7hYs2oui1lMfMpo7zpjjXm57KuC7arEMCLAhTwvVn3Ampre5-JXNDU4W1BSFnbuil1viExP-btfLd_51mIUaDKmbvjqAjL7VwSpFtc4/x3-oAu8uS-XdSJfy8X-1_vFNdPRHiqJdAICw0E4XkB0),"Drill Cap.: 3/8, Free Speed (RPM): 2,600, Overall Length: 6.7/10/170mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 6.5Cfm/184L/min, Net Weight: 1.02Kgs / 2.25Lbs",INR 9280.00,25% off,90,Drebon,,"Heavy Duty, Air, Reversible, Drill, Pneumatic",This heavy-duty air reversible drill is suitable for various drilling applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342207/x1t803ohhgua263bxqiu.png
